ID en el IDAE;Nombre del vehículo;Segmento comercial;Motorizacion;Cilindrada;Tipo de cambio;MTMA;Potencia en CV;Potencia termica;Potencia Electrica;Autonomia Electrica;Consumo NEDC;Consumo WLTP;Emisiones NEDC;Emisiones WLTP;Dimensiones (largo x ancho x alto);Nº de plazas maximas;Clasificacion por consumo relativo
28136;Alfa Romeo 159 1.9 JTDM 8V 6M 120CV Sport;Berlinas-Familiares Grandes;Gasóleo;1.910 cm3;M;1.980;120 cv;88 kw;0 kw;1.154 kms;5,20;0,00;138 g CO2/km;0 g CO2/km;4.660 x 1.828 x 1.417 mm;5;C
28137;Alfa Romeo 159 1.9 JTDM 8V 6M 120CV SW Sport;Berlinas-Familiares Grandes;Gasóleo;1.910 cm3;M;2.030;120 cv;88 kw;0 kw;1.132 kms;5,30;0,00;140 g CO2/km;0 g CO2/km;4.660 x 1.828 x 1.422 mm;5;C
24976;Alfa Romeo 159 2.0 JTDM  136CV Sport Plus;Berlinas-Familiares Grandes;Gasóleo;1.956 cm3;M;1.990;185 cv;136 kw;0 kw;1.176 kms;5,10;0,00;134 g CO2/km;0 g CO2/km;4.660 x 1.828 x 1.417 mm;5;C
24980;Alfa Romeo 159 2.0 JTDM  136CV SW Sport Plus;Berlinas-Familiares Grandes;Gasóleo;1.956 cm3;M;2.040;185 cv;136 kw;0 kw;1.154 kms;5,20;0,00;137 g CO2/km;0 g CO2/km;4.660 x 1.828 x 1.417 mm;5;C
28138;Alfa Romeo 159 2.0 JTDM 170CV Sport ECO;Berlinas-Familiares Grandes;Gasóleo;1.956 cm3;M;1.990;170 cv;125 kw;0 kw;1.176 kms;5,10;0,00;136 g CO2/km;0 g CO2/km;4.660 x 1.828 x 1.417 mm;5;C
24977;Alfa Romeo 159 2.0 JTDM 170CV Sport Plus;Berlinas-Familiares Grandes;Gasóleo;1.956 cm3;M;1.990;231 cv;170 kw;0 kw;1.111 kms;5,40;0,00;142 g CO2/km;0 g CO2/km;4.660 x 1.828 x 1.417 mm;5;C
24978;Alfa Romeo 159 2.0 JTDM 170CV Sport Plus ECO;Berlinas-Familiares Grandes;Gasóleo;1.956 cm3;M;1.990;231 cv;170 kw;0 kw;1.176 kms;5,10;0,00;136 g CO2/km;0 g CO2/km;4.660 x 1.828 x 1.417 mm;5;C
24981;Alfa Romeo 159 2.0 JTDM 170CV SW Sport Plus;Berlinas-Familiares Grandes;Gasóleo;1.956 cm3;M;2.040;231 cv;170 kw;0 kw;1.091 kms;5,50;0,00;145 g CO2/km;0 g CO2/km;4.660 x 1.828 x 1.417 mm;5;C
24982;Alfa Romeo 159 2.0 JTDM 170CV SW Sport Plus ECO;Berlinas-Familiares Grandes;Gasóleo;1.956 cm3;M;2.040;231 cv;170 kw;0 kw;1.154 kms;5,20;0,00;139 g CO2/km;0 g CO2/km;4.660 x 1.828 x 1.417 mm;5;C
24975;Alfa Romeo 159 2.0 JTDM 6M 136CV Sport;Berlinas-Familiares Grandes;Gasóleo;1.956 cm3;M;1.990;185 cv;136 kw;0 kw;1.176 kms;5,10;0,00;134 g CO2/km;0 g CO2/km;4.660 x 1.828 x 1.417 mm;5;C
24979;Alfa Romeo 159 2.0 JTDM 6M 136CV SW Sport;Berlinas-Familiares Grandes;Gasóleo;1.956 cm3;M;2.040;185 cv;136 kw;0 kw;1.154 kms;5,20;0,00;137 g CO2/km;0 g CO2/km;4.660 x 1.828 x 1.417 mm;5;C
277364;Alfa Romeo 4C Spider 1.7 Tbi 240CV TCT;Deportivo;Gasolina;1.742 cm3;A;940;240 cv;177 kw;0 kw;0 kms;5,10;0,00;161 g CO2/km;0 g CO2/km;3.989 x 1.864 x 1.183 mm;2;B
28143;Alfa Romeo Brera 2.0 JTDM  170 CV;Deportivo;Gasóleo;1.956 cm3;M;1.980;170 cv;125 kw;0 kw;1.296 kms;5,40;0,00;142 g CO2/km;0 g CO2/km;4.410 x 1.830 x 1.341 mm;4;D
28142;Alfa Romeo Brera 2.4 JTDM  210 CV;Deportivo;Gasóleo;2.387 cm3;M;2.075;209 cv;154 kw;0 kw;1.029 kms;6,80;0,00;179 g CO2/km;0 g CO2/km;4.410 x 1.830 x 1.341 mm;4;F
277384;Alfa Romeo Giulia 2.0 280 CV AT8 AWD;Berlinas-Familiares Medios;Gasolina;1.195 cm3;A;1.530;280 cv;206 kw;0 kw;0 kms;6,40;0,00;148 g CO2/km;0 g CO2/km;4.643 x 2.024 x 1.436 mm;5;A
253405;Alfa Romeo Giulia 2.2 turbo diésel 136 CV Giulia;Berlinas-Familiares Grandes;Gasóleo;2.143 cm3;M;1.600;137 cv;101 kw;0 kw;1.238 kms;4,20;0,00;109 g CO2/km;0 g CO2/km;4.643 x 1.860 x 1.436 mm;5;A
